"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\React\see-u-letter\src\App.js", "JavaScript", 64, 0, 0, 1, 12, 77
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\FontOptionsScreen.js", "JavaScript", 204, 0, 0, 27, 49, 280
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\LetterPaperOptionsScreen.js", "JavaScript", 58, 0, 0, 0, 20, 78
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\MonthOptionsScreen.js", "JavaScript", 87, 0, 0, 2, 28, 117
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\ReceiverOptionsScreen.js", "JavaScript", 74, 0, 0, 3, 19, 96
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\TopicOptionsIntroScreen.js", "JavaScript", 74, 0, 0, 1, 22, 97
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\TopicOptionsScreen.js", "JavaScript", 110, 0, 0, 4, 33, 147
"c:\React\see-u-letter\src\Screens\PayFlow\DeliveryInfoScreen.js", "JavaScript", 67, 0, 0, 23, 27, 117
"c:\React\see-u-letter\src\Screens\PayFlow\LastScreen.js", "JavaScript", 42, 0, 0, 0, 13, 55
"c:\React\see-u-letter\src\Screens\PayFlow\PaymentInfoScreen.js", "JavaScript", 161, 0, 0, 2, 40, 203
"c:\React\see-u-letter\src\Screens\PayFlow\component\PersonalInfoAgreement.js", "JavaScript", 100, 0, 0, 1, 32, 133
"c:\React\see-u-letter\src\Screens\PayFlow\component\PostMethodOption.js", "JavaScript", 69, 0, 0, 2, 16, 87
"c:\React\see-u-letter\src\Screens\PayFlow\component\ReceiverSender.js", "JavaScript", 292, 0, 0, 2, 48, 342
"c:\React\see-u-letter\src\Screens\PhotoUploadScreen.js", "JavaScript", 86, 0, 0, 2, 31, 119
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\FaQData.js", "JavaScript", 110, 0, 0, 0, 29, 139
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\FaQScreen.js", "JavaScript", 100, 0, 0, 0, 37, 137
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\IntroScreen.js", "JavaScript", 64, 0, 0, 0, 16, 80
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\LandingScreen.js", "JavaScript", 129, 0, 0, 1, 37, 167
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\MainScreen.js", "JavaScript", 205, 0, 0, 5, 53, 263
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\SenderInfoScreen.js", "JavaScript", 111, 0, 0, 1, 30, 142
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\TermsOfServiceScreen.js", "JavaScript", 116, 0, 0, 0, 37, 153
"c:\React\see-u-letter\src\Screens\WritingLetterFlow\LetterPreviewScreen.js", "JavaScript", 77, 0, 0, 14, 35, 126
"c:\React\see-u-letter\src\Screens\WritingLetterFlow\WritingLetter.js", "JavaScript", 154, 0, 0, 2, 64, 220
"c:\React\see-u-letter\src\Screens\WritingLetterScreen.js", "JavaScript", 0, 0, 0, 34, 0, 34
"c:\React\see-u-letter\src\Screens\Writingcopy.js", "JavaScript", 28, 0, 0, 0, 8, 36
"c:\React\see-u-letter\src\Screens\t.css", "CSS", 0, 0, 55, 0, 8, 63
"c:\React\see-u-letter\src\Screens\testModalS.js", "JavaScript", 12, 0, 0, 1, 5, 18
"c:\React\see-u-letter\src\Screens\tt.js", "JavaScript", 119, 0, 0, 18, 9, 146
"c:\React\see-u-letter\src\axios\auth.js", "JavaScript", 20, 0, 0, 0, 5, 25
"c:\React\see-u-letter\src\commons\Header.js", "JavaScript", 55, 0, 0, 0, 22, 77
"c:\React\see-u-letter\src\commons\LetterTopics.js", "JavaScript", 24, 0, 0, 0, 6, 30
"c:\React\see-u-letter\src\commons\StyledLink.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\React\see-u-letter\src\commons\font.js", "JavaScript", 26, 0, 0, 0, 2, 28
"c:\React\see-u-letter\src\commons\text.js", "JavaScript", 97, 0, 0, 16, 33, 146
"c:\React\see-u-letter\src\components\Carousel\LetterPaperCarousel.js", "JavaScript", 79, 0, 0, 1, 24, 104
"c:\React\see-u-letter\src\components\Carousel\slick-theme.css", "CSS", 0, 0, 157, 16, 32, 205
"c:\React\see-u-letter\src\components\Carousel\slick.css", "CSS", 0, 0, 104, 1, 14, 119
"c:\React\see-u-letter\src\components\Carousel\test.css", "CSS", 0, 0, 7, 0, 2, 9
"c:\React\see-u-letter\src\components\Carousel\test.js", "JavaScript", 98, 0, 0, 0, 11, 109
"c:\React\see-u-letter\src\components\Carousel\test2.js", "JavaScript", 119, 0, 0, 50, 16, 185
"c:\React\see-u-letter\src\components\Modal\app.js", "JavaScript", 20, 0, 0, 0, 6, 26
"c:\React\see-u-letter\src\components\Modal\component.js", "JavaScript", 106, 0, 0, 8, 40, 154
"c:\React\see-u-letter\src\components\Modal\context.js", "JavaScript", 18, 0, 0, 0, 10, 28
"c:\React\see-u-letter\src\components\Modal\modal.js", "JavaScript", 41, 0, 0, 0, 8, 49
"c:\React\see-u-letter\src\components\Modal\modalContext.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\React\see-u-letter\src\components\Modal\useModal.js", "JavaScript", 12, 0, 0, 0, 4, 16
"c:\React\see-u-letter\src\components\TryModal\Modal.js", "JavaScript", 31, 0, 0, 1, 10, 42
"c:\React\see-u-letter\src\components\TryModal\style.css", "CSS", 0, 0, 75, 0, 7, 82
"c:\React\see-u-letter\src\components\forMainScreen\Footer.js", "JavaScript", 71, 0, 0, 0, 21, 92
"c:\React\see-u-letter\src\components\forMainScreen\Sidebar.js", "JavaScript", 121, 0, 0, 0, 43, 164
"c:\React\see-u-letter\src\components\forMainScreen\SwipeableTemporaryDrawer.js", "JavaScript", 80, 0, 0, 0, 23, 103
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\App.css", "CSS", 0, 0, 7, 0, 2, 9
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\CropImage.js", "JavaScript", 79, 0, 0, 23, 12, 114
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\ImgDialog.js", "JavaScript", 77, 0, 0, 0, 9, 86
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\canvasUtils.js", "JavaScript", 63, 0, 0, 15, 15, 93
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\index.js", "JavaScript", 84, 0, 0, 22, 13, 119
"c:\React\see-u-letter\src\components\forPhotoUploadScreen\styles.js", "JavaScript", 44, 0, 0, 0, 1, 45
"c:\React\see-u-letter\src\contexts\ExtraPagesContext.js", "JavaScript", 11, 0, 0, 22, 4, 37
"c:\React\see-u-letter\src\fonts\font.js", "JavaScript", 10, 0, 0, 0, 4, 14
"c:\React\see-u-letter\src\index.css", "CSS", 0, 0, 42, 0, 9, 51
"c:\React\see-u-letter\src\index.js", "JavaScript", 13, 0, 0, 0, 2, 15
"c:\React\see-u-letter\src\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"Total", "-", 4127, 1, 447, 321, 1172, 6068